url,restaurant_id,fetch_count,time_of_fetching_data,rating,rest_name,address,telephone,website,tags,CUISINES,Special_Diets,Meals,is_michelin,menu_link_available,neighborhood,restaurant_rank,Food_Rating,Value_Rating,Service_Rating,Atmosphere_Rating,PRICE_RANGE,FEATURES,total_reviews,menu_link,geo_id
https://www.tripadvisor.com/Restaurant_Review-g187147-d10002410-Reviews-Le_reciproque-Paris_Ile_de_France.html,d10002410,1,"24/12/2023 08:43:49",5,"le réciproque","14 rue Ferdinand Flocon, 75018 Paris France","+33 9 86 37 80 77",http://www.lereciproque.com/,"['$$ - $$$', 'French', 'European', 'Contemporary']","['French', 'European', 'Contemporary']","['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']","['Lunch', 'Dinner']",No,No,"18th Arr. - Buttes-Montmartre0.4 miles from Basilique du Sacre-Coeur de Montmartre","#115 of 14,523 Restaurants in Paris",5,4.5,5,4.5,"['$23 - $52']","['Reservations', 'Seating', 'Wheelchair Accessible', 'Serves Alcohol', 'Accepts American Express', 'Accepts Mastercard', 'Accepts Visa', 'Digital Payments', 'Accepts Credit Cards', 'Table Service', 'Gift Cards Available']",372,,187147
https://www.tripadvisor.com/Restaurant_Review-g187147-d10041740-Reviews-Le_Vent_d_Armor-Paris_Ile_de_France.html,d10041740,1,"24/12/2023 08:41:20",5,"Le Vent d'Armor","25 quai de la Tournelle, 75005 Paris France","+33 1 46 34 50 99",http://www.le-vent-darmor.com/,"['$$ - $$$', 'French', 'Seafood', 'European']","['French', 'Seafood', 'European', 'Healthy']","['Gluten Free Options']","['Lunch', 'Dinner']",No,No,"5th Arr. - Pantheon0.3 miles from Cathedrale Notre-Dame de Paris","#104 of 14,523 Restaurants in Paris",5,4.5,5,4.5,"['$33 - $77']","['Reservations', 'Seating', 'Wheelchair Accessible', 'Serves Alcohol', 'Accepts Mastercard', 'Accepts Visa', 'Accepts Credit Cards', 'Table Service']",435,,187147
https://www.tripadvisor.com/Restaurant_Review-g187147-d1019498-Reviews-The_Frog_at_Bercy_Village-Paris_Ile_de_France.html,d1019498,1,"24/12/2023 08:32:43",4,"The Frog at Bercy Village","25 Cour Saint Emilion, 75012 Paris France","+33 1 43 40 70 71",http://www.frogpubs.com/pub-bercy-village-paris.php,"['$$ - $$$', 'Pub', 'Vegetarian Friendly']",['Pub'],"['Vegetarian Friendly']","['Lunch', 'Dinner', 'Late Night', 'Drinks']",No,No,"12th Arr. - Reuilly","#31 of 14,523 Restaurants in Paris",5,5,5,4.5,"['$12 - $19']","['Reservations', 'Outdoor Seating', 'Seating', 'Television', 'Serves Alcohol', 'Full Bar', 'Free Wifi', 'Accepts Credit Cards', 'Table Service']",2252,,187147
https://www.tripadvisor.com/Restaurant_Review-g187147-d1019499-Reviews-Assanabel_Paris-Paris_Ile_de_France.html,d1019499,1,"24/12/2023 08:29:46",5,"Assanabel Paris","6 rue Pierre Chausson, 75010 Paris France","+33 1 42 08 09 08",http://www.assanabelparis.com/,"['$$ - $$$', 'Lebanese', 'Mediterranean', 'Healthy']","['Lebanese', 'Mediterranean', 'Healthy', 'Middle Eastern']","['Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']","['Lunch', 'Dinner', 'Drinks', 'Late Night']",No,No,"Porte-Saint-Martin0.3 miles from Canal Saint-Martin","#7 of 14,523 Restaurants in Paris",0,0,0,0,"['$33 - $66']","['Delivery', 'Takeout', 'Reservations', 'Private Dining', 'Seating', 'Highchairs Available', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Wine and Beer', 'Digital Payments', 'Free Wifi', 'Accepts Credit Cards', 'Table Service']",978,,187147
https://www.tripadvisor.com/Restaurant_Review-g187147-d10251960-Reviews-Il_Tronchetto-Paris_Ile_de_France.html,d10251960,1,"24/12/2023 08:36:33",5,"Il Tronchetto","22 rue de Lourmel, 75015 Paris France","+33 6 95 44 40 68",https://www.facebook.com/www.iltronchettopizza/,"['$$ - $$$', 'Italian', 'Pizza', 'European']","['Italian', 'Pizza', 'European', 'Neapolitan', 'Campania', 'Southern-Italian']","['Vegetarian Friendly', 'Vegan Options']","['Lunch', 'Dinner']",No,No,"15th Arr. - Vaugirard0.6 miles from Eiffel Tower","#65 of 14,523 Restaurants in Paris",4,4,4,4,"['$6 - $48']","['Takeout', 'Reservations', 'Seating', 'Serves Alcohol', 'Accepts Credit Cards', 'Table Service', 'Family style']",731,,187147
https://www.tripadvisor.com/Restaurant_Review-g187323-d10263210-Reviews-Namaste-Berlin.html,d10263210,1,"23/12/2023 09:22:58",4.5,Namaste,"Pariser Str. 56, 10719 Berlin Germany","+49 30 23947830",http://namaste-indisches.de/,"['$$ - $$$', 'Indian', 'Asian', 'Healthy']","['Indian', 'Asian', 'Healthy']","['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']","['Lunch', 'Dinner', 'Drinks']",No,No,"Wilmersdorf0.7 miles from Kurfurstendamm","#34 of 5,705 Restaurants in Berlin",4.5,4.5,4.5,4.5,"['$6 - $66']","['Private Dining', 'Delivery', 'Takeout', 'Reservations', 'Outdoor Seating', 'Buffet', 'Seating', 'Street Parking', 'Highchairs Available', 'Serves Alcohol', 'Full Bar', 'Wine and Beer', 'Accepts American Express', 'Accepts Mastercard', 'Accepts Visa', 'Digital Payments', 'Cash Only', 'Free Wifi', 'Accepts Discover', 'Accepts Credit Cards', 'Table Service']",709,,187323
https://www.tripadvisor.com/Restaurant_Review-g187147-d1035194-Reviews-La_Famiglia-Paris_Ile_de_France.html,d1035194,1,"24/12/2023 08:39:11",4.5,"La Famiglia","2 rue Waldeck Rousseau, 75017 Paris France","+33 1 45 74 20 28",http://www.restaurantlafamiglia.com/,"['$$$$', 'Italian', 'Mediterranean', 'European']","['Italian', 'Mediterranean', 'European', 'Tuscan', 'Central-Italian', 'Neapolitan', 'Campania', 'Southern-Italian']","['Vegetarian Friendly', 'Vegan Options']","['Drinks', 'Lunch', 'Dinner']",No,No,"Ternes0.6 miles from Arc de Triomphe","#1,222 of 14,523 Restaurants in Paris",5,4.5,5,4.5,"['$33 - $77']","['Delivery', 'Outdoor Seating', 'Accepts American Express', 'Accepts Mastercard', 'Accepts Visa', 'Reservations', 'Private Dining', 'Seating', 'Serves Alcohol', 'Accepts Credit Cards', 'Table Service', 'Gift Cards Available']",436,,187147
https://www.tripadvisor.com/Restaurant_Review-g187147-d1035679-Reviews-Da_Franco-Paris_Ile_de_France.html,d1035679,1,"24/12/2023 08:40:23",4.5,"Da Franco","21 Rue Ruhmkorff, 75017 Paris France","+33 1 45 72 41 20",http://dafrancoparis.jimdo.com/,"['$$ - $$$', 'Italian', 'Mediterranean', 'European']","['Italian', 'Mediterranean', 'European', 'Romana', 'Lazio', 'Sicilian', 'Central-Italian', 'Southern-Italian']","['Vegan Options', 'Vegetarian Friendly']","['Lunch', 'Dinner', 'Late Night']",No,No,"Ternes0.7 miles from Arc de Triomphe","#1,109 of 14,523 Restaurants in Paris",4.5,4.5,4.5,4.5,"['$22 - $40']","['Reservations', 'Outdoor Seating', 'Seating', 'Serves Alcohol', 'Accepts Credit Cards', 'Table Service', 'Wine and Beer', 'Free Wifi', 'Family style']",176,,187147
https://www.tripadvisor.com/Restaurant_Review-g187323-d10373640-Reviews-Evin_Pizza_Pasta-Berlin.html,d10373640,1,"23/12/2023 09:32:31",4.5,"Evin Pizza Pasta","Kurfuerstenstr. 101 - 104, 10787 Berlin Germany","+49 30 25742851",https://www.facebook.com/evinpizzapasta/,"['$', 'Italian', 'Pizza', 'International']","['Italian', 'Pizza', 'European', 'International']","['Vegetarian Friendly', 'Vegan Options']","['Lunch', 'Dinner', 'Late Night', 'Drinks']",No,No,"Schoneberg0.3 miles from Kurfurstendamm","#114 of 5,705 Restaurants in Berlin",4.5,4,4.5,4,"['$9 - $22']","['Delivery', 'Takeout', 'Reservations', 'Outdoor Seating', 'Seating', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Accepts Credit Cards', 'Street Parking', 'Wine and Beer', 'Digital Payments']",363,,187323
https://www.tripadvisor.com/Restaurant_Review-g186338-d1044247-Reviews-Il_Castelletto-London_England.html,d1044247,1,"23/12/2023 10:29:54",4,"Il Castelletto","17 Bury Place, London WC1A 2JB England","+44 20 7405 2232",http://www.il-castelletto.co.uk/,"['$$ - $$$', 'Italian', 'International', 'Mediterranean']","['Italian', 'Mediterranean', 'European', 'International', 'Contemporary']","['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']","['Lunch', 'Dinner', 'Late Night']",No,No,"Bloomsbury0.1 miles from The British Museum","#2,757 of 15,809 Restaurants in London",3.5,4,4,3.5,"['$10 - $32']","['Reservations', 'Outdoor Seating', 'Seating', 'Highchairs Available', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Accepts Credit Cards', 'Table Service']",526,,186338
